step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1013, 37)","(0.3957, 0.0257)",input_menu_code
2,"(2560, 1440)","(224, 164)","(0.0875, 0.1139)",button_tab_category
3,"(2560, 1440)","(106, 212)","(0.0414, 0.1472)",input_fund_code
4,"(2560, 1440)","(694, 212)","(0.2711, 0.1472)",input_start_date
5,"(2560, 1440)","(800, 212)","(0.3125, 0.1472)",input_end_date
6,"(2560, 1440)","(221, 237)","(0.0863, 0.1646)",button_dropdown_period
7,"(2560, 1440)","(215, 282)","(0.084, 0.1958)",button_select_alldays
8,"(2560, 1440)","(1172, 127)","(0.4578, 0.0882)",button_search
9,"(2560, 1440)","(1154, 295)","(0.4508, 0.2049)",button_excel
10,"(2560, 1440)","(1037, 448)","(0.4051, 0.3111)",button_excel_popup
